N,Duration,Peak Memory
250,14.403343200683594,16552
500,17.689228057861328,14680
750,19.984006881713867,14712
1000,17.400503158569336,14712
1500,21.708011627197266,14744
2000,20.082712173461914,14744
250,15.012502670288086,15152
500,15.220880508422852,14680
750,17.838239669799805,14712
1000,16.124725341796875,14712
1500,19.102811813354492,14744
2000,19.29616928100586,14744
250,14.644622802734375,14984
500,15.015363693237305,14680
750,17.73357391357422,14712
1000,16.706466674804688,14712
1500,17.517805099487305,14744
2000,19.917011260986328,14744
250,14.681816101074219,14984
500,17.10820198059082,14680
750,19.133329391479492,14712
1000,19.034385681152344,14712
1500,17.825841903686523,14744
2000,19.105911254882812,14744
250,15.884876251220703,14984
500,14.024734497070312,14680
750,16.064882278442383,14712
1000,15.914678573608398,14712
1500,17.794370651245117,14744
2000,19.850492477416992,14744
250,14.030694961547852,14984
500,14.014720916748047,14680
750,17.034053802490234,14712
1000,16.518831253051758,14712
1500,20.032167434692383,14744
2000,22.081613540649414,14744
250,17.094850540161133,14984
500,19.72222328186035,14680
750,19.36173439025879,14712
1000,18.836021423339844,14712
1500,20.757198333740234,14744
2000,22.435426712036133,14744
250,14.397859573364258,14984
500,15.46788215637207,14680
750,16.341686248779297,14712
1000,17.845869064331055,14712
1500,19.051313400268555,14744
2000,19.60897445678711,14744
250,14.846324920654297,14984
500,15.06948471069336,14680
750,16.311168670654297,14712
1000,16.840696334838867,14712
1500,18.822669982910156,14744
2000,19.440889358520508,14744
250,14.358758926391602,14984
500,14.125823974609375,14680
750,15.842914581298828,14712
1000,18.941402435302734,14712
1500,17.999649047851562,14744
2000,19.362688064575195,14744
250,15.14887809753418,14984
500,20.642757415771484,14680
750,17.740726470947266,14712
1000,17.091989517211914,14712
1500,18.665075302124023,14744
2000,20.077943801879883,14744
250,14.774322509765625,14984
500,14.274835586547852,14680
750,15.63262939453125,14712
1000,16.8764591217041,14712
1500,17.121553421020508,14744
2000,18.568992614746094,14744
250,14.842033386230469,14984
500,14.121532440185547,14680
750,15.716314315795898,14712
1000,15.367746353149414,14712
1500,17.72451400756836,14744
2000,21.174907684326172,14744
250,15.412330627441406,14984
500,15.544891357421875,14680
750,18.07856559753418,14712
1000,17.757177352905273,14712
1500,17.772674560546875,14744
2000,18.949031829833984,14744
250,15.462875366210938,14984
500,14.58430290222168,14680
750,30.640602111816406,14712
1000,60.921430587768555,14712
1500,55.3441047668457,14744
2000,55.57131767272949,14744
250,13.553380966186523,14984
500,15.765666961669922,14680
750,16.37578010559082,14712
1000,20.188093185424805,14712
1500,21.091461181640625,14744
2000,20.388364791870117,14744
250,38.014888763427734,14984
500,22.359371185302734,14680
750,28.548479080200195,14712
1000,29.401779174804688,14712
1500,32.086849212646484,14744
2000,27.52232551574707,14744
250,22.089481353759766,14984
500,21.731138229370117,14680
750,40.21263122558594,14712
1000,62.21175193786621,14712
1500,73.42672348022461,14744
2000,49.94678497314453,14744
250,18.329858779907227,14984
500,20.94244956970215,14680
750,30.178308486938477,14712
1000,32.69529342651367,14712
1500,33.83660316467285,14744
2000,33.31637382507324,14744
250,16.05987548828125,14984
500,14.844179153442383,14680
750,17.329692840576172,14712
1000,17.64059066772461,14712
1500,18.2034969329834,14744
2000,21.59905433654785,14744
250,30.37428855895996,14984
500,17.96889305114746,14680
750,20.30014991760254,14712
1000,19.794940948486328,14712
1500,24.184226989746094,14744
2000,20.959138870239258,14744
250,14.309883117675781,14984
500,14.82534408569336,14680
750,17.643213272094727,14712
1000,28.8693904876709,14712
1500,23.177623748779297,14744
2000,29.291391372680664,14744
250,23.035287857055664,14984
500,18.038034439086914,14680
750,28.90753746032715,14712
1000,25.079965591430664,14712
1500,31.35514259338379,14744
2000,31.889915466308594,14744
250,17.548561096191406,14984
500,15.180826187133789,14680
750,19.068479537963867,14712
1000,19.5465087890625,14712
1500,23.859500885009766,14744
2000,27.65798568725586,14744
250,16.012191772460938,14984
500,15.034675598144531,14680
750,16.962766647338867,14712
1000,18.94211769104004,14712
1500,18.69034767150879,14744
2000,19.126415252685547,14744
250,14.620304107666016,14984
500,17.679691314697266,14680
750,18.290281295776367,14712
1000,23.197412490844727,14712
1500,24.1243839263916,14744
2000,20.575523376464844,14744
250,14.674663543701172,14984
500,14.78266716003418,14680
750,17.052888870239258,14712
1000,18.200159072875977,14712
1500,18.692493438720703,14744
2000,19.761085510253906,14744
250,13.905525207519531,14984
500,15.128135681152344,14680
750,19.21248435974121,14712
1000,18.27263832092285,14712
1500,22.69768714904785,14744
2000,22.356271743774414,14744
250,16.815900802612305,14984
500,14.231443405151367,14680
750,18.28908920288086,14712
1000,17.548799514770508,14712
1500,18.85390281677246,14744
2000,21.153926849365234,14744
250,14.866113662719727,14984
500,15.584230422973633,14680
750,29.925823211669922,14712
1000,18.718481063842773,14712
1500,20.87092399597168,14744
2000,20.627260208129883,14744
250,14.815330505371094,14984
500,15.171527862548828,14680
750,17.894983291625977,14712
1000,16.856908798217773,14712
1500,19.186019897460938,14744
2000,19.707441329956055,14744
250,14.917612075805664,14984
500,18.59903335571289,14680
750,20.39027214050293,14712
1000,17.816543579101562,14712
1500,22.082805633544922,14744
2000,20.90311050415039,14744
250,18.848180770874023,14984
500,14.715433120727539,14680
750,16.87932014465332,14712
1000,18.812894821166992,14712
1500,17.882823944091797,14744
2000,19.22297477722168,14744
250,14.21976089477539,14984
500,14.760494232177734,14680
750,17.82393455505371,14712
1000,19.176006317138672,14712
1500,19.58465576171875,14744
2000,22.267580032348633,14744
250,13.643503189086914,14984
500,16.662120819091797,14680
750,23.068666458129883,14712
1000,16.805171966552734,14712
1500,17.558813095092773,14744
2000,18.860340118408203,14744
250,15.02680778503418,14984
500,14.842510223388672,14680
750,17.780303955078125,14712
1000,15.170574188232422,14712
1500,16.839981079101562,14744
2000,17.527341842651367,14744
250,13.050079345703125,14984
500,14.038562774658203,14680
750,16.371965408325195,14712
1000,15.883684158325195,14712
1500,18.64147186279297,14744
2000,19.192934036254883,14744
250,15.065193176269531,14984
500,14.18614387512207,14680
750,18.018484115600586,14712
1000,16.9832706451416,14712
1500,19.194364547729492,14744
2000,19.910812377929688,14744
250,15.725135803222656,14984
500,15.34581184387207,14680
750,16.846179962158203,14712
1000,16.63041114807129,14712
1500,16.9219970703125,14744
2000,18.367528915405273,14744
250,15.00558853149414,14984
500,14.30368423461914,14680
750,17.626523971557617,14712
1000,18.053770065307617,14712
1500,18.893957138061523,14744
2000,20.668983459472656,14744
250,15.794515609741211,14984
500,16.05534553527832,14680
750,17.104387283325195,14712
1000,18.250465393066406,14712
1500,22.85289764404297,14744
2000,18.04375648498535,14744
250,15.160560607910156,14984
500,16.062259674072266,14680
750,18.30124855041504,14712
1000,17.005205154418945,14712
1500,17.618656158447266,14744
2000,20.25461196899414,14744
250,15.016555786132812,14984
500,14.91236686706543,14680
750,16.02458953857422,14712
1000,18.634319305419922,14712
1500,21.92211151123047,14744
2000,20.981788635253906,14744
250,24.858474731445312,14984
500,25.68531036376953,14680
750,19.4549560546875,14712
1000,19.02914047241211,14712
1500,19.04606819152832,14744
2000,20.479917526245117,14744
250,17.22431182861328,14984
500,13.985157012939453,14680
750,16.992568969726562,14712
1000,16.13020896911621,14712
1500,19.051551818847656,14744
2000,20.12801170349121,14744
250,13.900518417358398,14984
500,16.93129539489746,14680
750,20.21312713623047,14712
1000,18.492937088012695,14712
1500,16.78323745727539,14744
2000,20.50161361694336,14744
250,16.78633689880371,14984
500,16.986370086669922,14680
750,21.549463272094727,14712
1000,18.901824951171875,14712
1500,18.655776977539062,14744
2000,20.869016647338867,14744
250,16.777753829956055,14984
500,15.957117080688477,14680
750,18.7222957611084,14712
1000,19.35720443725586,14712
1500,17.86518096923828,14744
2000,22.142410278320312,14744
250,14.774322509765625,14984
500,14.057397842407227,14680
750,16.08586311340332,14712
1000,14.619827270507812,14712
1500,18.02349090576172,14744
2000,17.945051193237305,14744
250,14.127969741821289,14984
500,12.737035751342773,14680
750,16.854286193847656,14712
1000,15.365839004516602,14712
1500,17.801523208618164,14744
2000,46.68402671813965,14744
