N,Duration,Peak Memory
250,8.27932357788086,28088
500,16.483306884765625,56136
750,24.5206356048584,84056
1000,32.99689292907715,112776
1500,48.99024963378906,168648
2000,63.00950050354004,224104
250,7.509946823120117,28032
500,15.092134475708008,56080
750,22.2628116607666,84000
1000,30.74479103088379,112720
1500,49.835205078125,168592
2000,69.04053688049316,224048
250,7.578611373901367,28032
500,14.234542846679688,56080
750,22.509336471557617,84000
1000,31.497955322265625,112720
1500,51.5749454498291,168592
2000,64.37015533447266,224048
250,7.133722305297852,28032
500,15.826702117919922,56080
750,24.150609970092773,84000
1000,33.04696083068848,112720
1500,47.003746032714844,168592
2000,64.11409378051758,224048
250,6.126642227172852,28032
500,15.28024673461914,56080
750,23.134708404541016,84000
1000,30.31015396118164,112720
1500,46.92196846008301,168592
2000,65.48643112182617,224048
250,6.542205810546875,28032
500,14.44387435913086,56080
750,23.317575454711914,84000
1000,32.774925231933594,112720
1500,54.86941337585449,168592
2000,62.66188621520996,224048
250,7.504940032958984,28032
500,29.576539993286133,56080
750,31.582117080688477,84000
1000,35.35056114196777,112720
1500,54.677724838256836,168592
2000,81.32386207580566,224048
250,10.754823684692383,28032
500,14.692306518554688,56080
750,24.597644805908203,84000
1000,33.116817474365234,112720
1500,47.71232604980469,168592
2000,62.925100326538086,224048
250,7.551670074462891,28032
500,14.954090118408203,56080
750,23.128032684326172,84000
1000,31.040430068969727,112720
1500,46.53525352478027,168592
2000,66.07317924499512,224048
250,6.999731063842773,28032
500,15.021324157714844,56080
750,22.915124893188477,84000
1000,35.56013107299805,112720
1500,47.54352569580078,168592
2000,61.56444549560547,224048
250,7.003307342529297,28032
500,15.854120254516602,56080
750,22.75252342224121,84000
1000,30.569076538085938,112720
1500,45.24850845336914,168592
2000,63.87186050415039,224048
250,7.024049758911133,28032
500,14.529943466186523,56080
750,22.55392074584961,84000
1000,29.448986053466797,112720
1500,47.783613204956055,168592
2000,70.0528621673584,224048
250,7.013559341430664,28032
500,14.37067985534668,56080
750,22.455453872680664,84000
1000,33.63299369812012,112720
1500,49.803972244262695,168592
2000,62.92009353637695,224048
250,7.280826568603516,28032
500,17.093896865844727,56080
750,24.352312088012695,84000
1000,33.104658126831055,112720
1500,45.30620574951172,168592
2000,62.857627868652344,224048
250,6.5059661865234375,28032
500,14.820337295532227,56080
750,25.949478149414062,84000
1000,30.068159103393555,112720
1500,49.14259910583496,168592
2000,69.20647621154785,224048
250,20.302295684814453,28032
500,43.99371147155762,56080
750,40.72237014770508,84000
1000,47.31440544128418,112720
1500,68.7556266784668,168592
2000,70.01376152038574,224048
250,8.010387420654297,28032
500,15.370845794677734,56080
750,26.572465896606445,84000
1000,42.48547554016113,112720
1500,182.78908729553223,168592
2000,153.92756462097168,224048
250,10.003805160522461,28032
500,32.2420597076416,56080
750,39.086103439331055,84000
1000,37.0631217956543,112720
1500,71.25091552734375,168592
2000,112.7176284790039,224048
250,26.0012149810791,28032
500,51.917314529418945,56080
750,45.54319381713867,84000
1000,56.72168731689453,112720
1500,72.70550727844238,168592
2000,120.96571922302246,224048
250,19.718647003173828,28032
500,33.12540054321289,56080
750,31.251907348632812,84000
1000,31.83603286743164,112720
1500,54.27885055541992,168592
2000,73.90570640563965,224048
250,11.040449142456055,28032
500,20.533084869384766,56080
750,40.778160095214844,84000
1000,47.12939262390137,112720
1500,81.64095878601074,168592
2000,118.52002143859863,224048
250,7.721900939941406,28032
500,16.319990158081055,56080
750,22.720813751220703,84000
1000,32.3789119720459,112720
1500,56.66923522949219,168592
2000,68.07208061218262,224048
250,11.990070343017578,28032
500,26.419639587402344,56080
750,42.20223426818848,84000
1000,72.0973014831543,112720
1500,99.12919998168945,168592
2000,140.90585708618164,224048
250,11.463165283203125,28032
500,43.158531188964844,56080
750,37.42861747741699,84000
1000,49.73340034484863,112720
1500,66.09129905700684,168592
2000,77.53133773803711,224048
250,10.04791259765625,28032
500,25.567054748535156,56080
750,37.097930908203125,84000
1000,36.06891632080078,112720
1500,55.63926696777344,168592
2000,77.27599143981934,224048
250,7.456302642822266,28032
500,16.99519157409668,56080
750,31.783103942871094,84000
1000,40.69018363952637,112720
1500,55.39274215698242,168592
2000,67.05808639526367,224048
250,8.100509643554688,28032
500,15.287160873413086,56080
750,23.752689361572266,84000
1000,31.325340270996094,112720
1500,51.97620391845703,168592
2000,79.69212532043457,224048
250,6.053447723388672,28032
500,15.666484832763672,56080
750,26.459217071533203,84000
1000,35.390377044677734,112720
1500,57.0986270904541,168592
2000,65.68145751953125,224048
250,9.177207946777344,28032
500,16.127347946166992,56080
750,25.062084197998047,84000
1000,33.377647399902344,112720
1500,49.286842346191406,168592
2000,77.56209373474121,224048
250,9.585142135620117,28032
500,16.684770584106445,56080
750,24.641752243041992,84000
1000,42.868614196777344,112720
1500,56.177377700805664,168592
2000,66.37787818908691,224048
250,6.126642227172852,28032
500,15.901803970336914,56080
750,23.679018020629883,84000
1000,30.45654296875,112720
1500,50.89521408081055,168592
2000,81.1314582824707,224048
250,7.004022598266602,28032
500,16.88408851623535,56080
750,27.733802795410156,84000
1000,37.657737731933594,112720
1500,62.67857551574707,168592
2000,67.40570068359375,224048
250,7.109642028808594,28032
500,16.081809997558594,56080
750,23.95462989807129,84000
1000,31.670093536376953,112720
1500,49.97420310974121,168592
2000,79.91218566894531,224048
250,7.001161575317383,28032
500,14.713525772094727,56080
750,24.523258209228516,84000
1000,33.0510139465332,112720
1500,49.46732521057129,168592
2000,60.37187576293945,224048
250,8.890628814697266,28032
500,16.887426376342773,56080
750,22.016525268554688,84000
1000,32.27496147155762,112720
1500,44.56305503845215,168592
2000,73.89140129089355,224048
250,7.290124893188477,28032
500,14.029979705810547,56080
750,23.318767547607422,84000
1000,30.126094818115234,112720
1500,47.45674133300781,168592
2000,65.58561325073242,224048
250,7.032871246337891,28032
500,14.014244079589844,56080
750,22.25470542907715,84000
1000,35.07804870605469,112720
1500,47.59716987609863,168592
2000,64.17083740234375,224048
250,7.0953369140625,28032
500,15.940666198730469,56080
750,25.042295455932617,84000
1000,30.820369720458984,112720
1500,44.161081314086914,168592
2000,61.07473373413086,224048
250,7.350444793701172,28032
500,14.245033264160156,56080
750,23.334980010986328,84000
1000,29.597043991088867,112720
1500,48.40254783630371,168592
2000,89.44201469421387,224048
250,6.022453308105469,28032
500,15.052080154418945,56080
750,22.926807403564453,84000
1000,32.89937973022461,112720
1500,49.277544021606445,168592
2000,64.42594528198242,224048
250,8.135318756103516,28032
500,15.132427215576172,56080
750,23.00548553466797,84000
1000,32.56511688232422,112720
1500,46.97895050048828,168592
2000,73.0745792388916,224048
250,6.517648696899414,28032
500,14.355897903442383,56080
750,22.778749465942383,84000
1000,30.764341354370117,112720
1500,51.76377296447754,168592
2000,73.63319396972656,224048
250,7.116794586181641,28032
500,15.478372573852539,56080
750,24.240732192993164,84000
1000,35.723209381103516,112720
1500,53.046464920043945,168592
2000,64.5148754119873,224048
250,6.092548370361328,28032
500,18.884658813476562,56080
750,27.553081512451172,84000
1000,32.41753578186035,112720
1500,47.35755920410156,168592
2000,74.96070861816406,224048
250,8.234977722167969,28032
500,16.278982162475586,56080
750,24.691343307495117,84000
1000,34.27004814147949,112720
1500,58.13193321228027,168592
2000,70.45769691467285,224048
250,7.513523101806641,28032
500,15.201330184936523,56080
750,24.621963500976562,84000
1000,35.944461822509766,112720
1500,45.0286865234375,168592
2000,63.57288360595703,224048
250,6.736993789672852,28032
500,16.886472702026367,56080
750,22.808313369750977,84000
1000,29.947757720947266,112720
1500,53.03812026977539,168592
2000,70.19710540771484,224048
250,8.110761642456055,28032
500,15.983104705810547,56080
750,36.87000274658203,84000
1000,39.221763610839844,112720
1500,53.453922271728516,168592
2000,69.89789009094238,224048
250,6.57200813293457,28032
500,15.213251113891602,56080
750,23.207426071166992,84000
1000,30.324935913085938,112720
1500,48.32315444946289,168592
2000,65.3679370880127,224048
250,6.127595901489258,28032
500,14.387369155883789,56080
750,21.877765655517578,84000
1000,31.81743621826172,112720
1500,60.700416564941406,168592
2000,62.38865852355957,224048
